SIMULATION_NUMBER,TAG_COUNT,COLLISION_SLOTS,EMPTY_SLOTS,SENT_BITS,SIMULATION_TIME,TOTAL_SLOTS
1,100,134,35,56000,0.003988504409790039,269
2,100,141,42,56640,0.004987478256225586,283
3,100,143,44,57344,0.0049915313720703125,287
4,100,149,50,57920,0.004989147186279297,299
5,100,133,34,55744,0.005028486251831055,267
6,100,128,29,55040,0.002992391586303711,257
7,100,137,38,56512,0.004026174545288086,275
8,100,140,41,56704,0.003992319107055664,281
9,100,136,37,56576,0.0039844512939453125,273
10,100,139,40,57856,0.0040302276611328125,279
11,100,139,40,57216,0.003992795944213867,279
12,100,142,43,57408,0.00399327278137207,285
13,100,146,47,57216,0.00398564338684082,293
14,100,139,40,55872,0.006934404373168945,279
15,100,148,49,58944,0.003988981246948242,297
16,100,152,53,58368,0.004998922348022461,305
17,100,131,32,55488,0.003989219665527344,263
18,100,144,45,58432,0.004992008209228516,289
19,100,146,47,58496,0.003979206085205078,293
20,100,150,51,58688,0.0049877166748046875,301
21,100,138,39,56704,0.003954410552978516,277
22,100,141,42,57152,0.003986835479736328,283
23,100,145,46,57408,0.003989696502685547,291
24,100,155,56,59008,0.004987001419067383,311
25,100,149,50,58560,0.004944562911987305,299
26,100,145,46,57472,0.003988981246948242,291
27,100,148,49,58240,0.005030155181884766,297
28,100,138,39,56960,0.003993511199951172,277
29,100,148,49,57344,0.0039882659912109375,297
30,100,144,45,57664,0.0049440860748291016,289
31,100,160,61,59904,0.003999948501586914,321
32,100,140,41,57344,0.003989696502685547,281
33,100,137,38,55744,0.00498509407043457,275
34,100,137,38,56832,0.004026651382446289,275
35,100,143,44,56832,0.003991365432739258,287
36,100,148,49,57728,0.004987955093383789,297
37,100,148,49,57856,0.0039899349212646484,297
38,100,137,38,56896,0.00399017333984375,275
39,100,144,45,57472,0.0049855709075927734,289
40,100,151,52,57920,0.003993988037109375,303
41,100,145,46,57664,0.004990100860595703,291
42,100,150,51,58368,0.005946159362792969,301
43,100,145,46,58688,0.009972572326660156,291
44,100,131,32,55424,0.004053354263305664,263
45,100,153,54,58624,0.0039920806884765625,307
46,100,136,37,56768,0.003983736038208008,273
47,100,152,53,58624,0.0040323734283447266,305
48,100,154,55,58688,0.004992008209228516,309
49,100,144,45,56960,0.003991603851318359,289
50,100,138,39,56000,0.0039861202239990234,277
51,100,151,52,58624,0.005985736846923828,303
52,100,147,48,57280,0.004046201705932617,295
53,100,139,40,56960,0.004002571105957031,279
54,100,146,47,58752,0.0039899349212646484,293
55,100,147,48,57792,0.00498509407043457,295
56,100,150,51,58688,0.00400233268737793,301
57,100,140,41,57280,0.004986763000488281,281
58,100,149,50,58816,0.004987239837646484,299
59,100,145,46,57920,0.0049250125885009766,291
60,100,129,30,55104,0.003989458084106445,259
61,100,130,31,56064,0.003976345062255859,261
62,100,147,48,58368,0.0039980411529541016,295
63,100,143,44,56768,0.003994941711425781,287
64,100,132,33,55552,0.003920078277587891,265
65,100,136,37,57152,0.003989458084106445,273
66,100,136,37,56384,0.004048585891723633,273
67,100,145,46,57984,0.003989458084106445,291
68,100,133,34,55488,0.003985166549682617,267
69,100,145,46,57664,0.004989147186279297,291
70,100,153,54,58560,0.0039865970611572266,307
71,100,127,28,54528,0.00399017333984375,255
72,100,132,33,55744,0.0039844512939453125,265
73,100,132,33,55424,0.003989696502685547,265
74,100,151,52,58368,0.00399470329284668,303
75,100,145,46,57792,0.003989696502685547,291
76,100,133,34,55168,0.0039865970611572266,267
77,100,144,45,58176,0.003992319107055664,289
78,100,148,49,58048,0.003993511199951172,297
79,100,137,38,55808,0.0040130615234375,275
80,100,144,45,57728,0.0049800872802734375,289
81,100,164,65,59840,0.004985332489013672,329
82,100,142,43,57216,0.003991842269897461,285
83,100,147,48,58240,0.0039920806884765625,295
84,100,135,36,56192,0.003989696502685547,271
85,100,156,57,60224,0.0049953460693359375,313
86,100,139,40,56896,0.003989458084106445,279
87,100,141,42,56832,0.003985166549682617,283
88,100,134,35,56320,0.003992795944213867,269
