SIMULATION_NUMBER,TAG_COUNT,COLLISION_SLOTS,EMPTY_SLOTS,SENT_BITS,SIMULATION_TIME,TOTAL_SLOTS
1,100,129,47,55488,3.9892196655273438,276
2,100,124,39,53824,3.9894580841064453,263
3,100,123,37,54464,3.989696502685547,260
4,100,128,48,54976,4.043817520141602,276
5,100,120,42,54400,3.9298534393310547,262
6,100,121,33,53952,3.988981246948242,254
7,100,127,45,54336,4.03904914855957,272
8,100,135,53,56384,3.9772987365722656,288
9,100,123,40,55040,3.9904117584228516,263
10,100,123,45,54080,3.993511199951172,268
11,100,129,50,55232,4.986047744750977,279
12,100,135,59,56064,0.0,294
13,100,118,36,53440,0.0,254
14,100,138,59,56128,0.0,297
15,100,124,40,54336,7.471799850463867,264
16,100,124,42,54784,3.991365432739258,266
17,100,119,39,53568,4.015445709228516,258
18,100,122,38,54592,3.9892196655273438,260
19,100,122,37,54848,2.991914749145508,259
20,100,117,32,54272,3.9873123168945312,249
21,100,129,51,55040,0.0,280
22,100,126,48,54464,15.68293571472168,274
23,100,125,43,55680,0.0,268
24,100,126,39,54848,0.0,265
25,100,128,44,55104,0.0,272
26,100,132,52,55488,0.0,284
27,100,123,41,54656,17.04263687133789,264
28,100,141,66,57536,0.0,307
29,100,115,35,52864,0.0,250
30,100,116,31,53184,0.0,247
31,100,122,38,54272,0.0,260
32,100,128,51,55360,15.622615814208984,279
33,100,124,39,54720,0.0,263
34,100,130,50,55616,0.0,280
35,100,124,43,54592,0.0,267
36,100,116,31,53376,0.0,247
37,100,133,56,55680,16.85333251953125,289
38,100,118,32,54592,3.988504409790039,250
39,100,120,33,54144,3.9899349212646484,253
40,100,124,41,54016,3.982067108154297,265
41,100,119,34,54336,3.9882659912109375,253
42,100,131,48,55872,3.9827823638916016,279
43,100,139,57,56640,3.0591487884521484,296
44,100,129,46,55616,0.0,275
45,100,130,44,54976,0.0,274
46,100,121,39,54144,0.0,260
47,100,126,43,54336,0.0,269
48,100,121,38,54592,15.61880111694336,259
49,100,131,55,55680,0.0,286
50,100,119,32,54016,0.0,251
51,100,130,51,54912,0.0,281
52,100,123,35,53952,0.0,258
53,100,118,33,53760,15.622138977050781,251
54,100,124,39,55232,0.0,263
55,100,119,39,54336,3.0891895294189453,258
56,100,112,28,53056,3.9892196655273438,240
57,100,128,44,54976,3.988027572631836,272
58,100,128,48,54912,4.136323928833008,276
59,100,114,27,53504,2.992868423461914,241
60,100,115,31,52992,4.001617431640625,246
61,100,116,30,54080,3.2303333282470703,246
62,100,123,37,54464,0.0,260
63,100,126,52,54464,15.662908554077148,278
64,100,122,33,54016,0.0,255
65,100,139,63,56128,0.0,302
66,100,130,52,55424,17.716169357299805,282
67,100,119,42,54080,3.998279571533203,261
68,100,131,56,56576,3.9844512939453125,287
69,100,123,44,54528,3.989696502685547,267
70,100,127,47,55744,0.0,274
71,100,112,29,52864,15.664100646972656,241
72,100,128,50,55104,0.0,278
73,100,129,47,54848,0.0,276
74,100,120,39,53696,0.0,259
75,100,128,44,55168,3.9930343627929688,272
76,100,135,54,56320,3.9925575256347656,289
77,100,136,60,55680,4.986286163330078,296
78,100,132,53,55488,4.986763000488281,285
79,100,136,61,56128,0.1537799835205078,297
80,100,131,56,55744,0.0,287
81,100,122,39,54528,0.0,261
82,100,123,48,54080,15.622138977050781,271
83,100,132,53,55552,0.0,285
84,100,118,37,53760,0.0,255
85,100,129,48,55168,0.0,277
86,100,130,47,55168,0.0,277
87,100,121,39,54016,17.796993255615234,260
88,100,127,37,54720,3.983736038208008,264
89,100,134,64,55744,3.9870738983154297,298
90,100,116,28,54656,2.1681785583496094,244
91,100,131,49,54784,0.0,280
92,100,135,59,56064,0.0,294
93,100,124,44,54720,15.623807907104492,268
94,100,119,36,54848,0.0,255
95,100,119,33,53824,15.61880111694336,252
96,100,132,59,55488,0.0,291
97,100,128,48,54528,0.0,276
98,100,150,72,57984,16.704797744750977,322
99,100,115,26,53504,3.993511199951172,241
100,100,120,37,54016,1.1415481567382812,257
1,200,249,99,121792,21.46768569946289,548
2,200,246,77,121216,14.966249465942383,523
3,200,246,75,121792,14.960765838623047,521
4,200,255,82,122688,13.271570205688477,537
5,200,253,87,121856,15.631914138793945,540
6,200,252,94,121408,17.88020133972168,546
7,200,270,118,125568,15.625715255737305,588
8,200,236,72,120512,15.620231628417969,508
9,200,276,125,126208,15.577316284179688,601
